id,poll_id,user_id,created_at,updated_at,is_following,has_voted
1,4,6,2012-09-30 06:25:03.067171,2012-09-30 06:30:00.926177,f,10
3,4,7,2012-09-30 07:56:33.334829,2012-09-30 07:56:47.254834,f,11
4,3,7,2012-09-30 07:57:15.79121,2012-09-30 07:57:54.010599,f,8
6,5,5,2012-09-30 17:08:19.126432,2012-09-30 17:08:44.9762,f,14
5,6,5,2012-09-30 17:07:31.81708,2012-09-30 19:58:42.067695,f,19
7,6,6,2012-09-30 20:25:11.561526,2012-09-30 20:25:11.561526,f,0
10,8,5,2012-10-01 17:45:00.846127,2012-10-01 17:45:00.846127,f,0
11,1,8,2012-10-01 22:53:17.209016,2012-10-01 22:53:48.519658,f,2
12,2,8,2012-10-01 22:53:58.647055,2012-10-01 22:54:12.827145,f,6
9,1,7,2012-10-01 06:42:17.8541,2012-10-02 02:16:11.053598,f,4
13,2,7,2012-10-02 02:16:54.571653,2012-10-02 02:16:56.613241,f,6
8,5,6,2012-09-30 20:45:19.638086,2012-10-02 03:18:29.961479,f,12
2,3,6,2012-09-30 07:16:07.926421,2012-10-02 03:18:42.164772,f,8
14,8,6,2012-10-02 03:19:24.849903,2012-10-02 03:19:24.849903,f,0
15,13,6,2012-10-02 03:23:01.778212,2012-10-02 03:23:36.26237,f,37
16,14,5,2012-10-02 06:02:59.863597,2012-10-02 06:03:09.943465,f,44
18,4,9,2012-10-02 07:53:02.172215,2012-10-02 07:53:47.825322,f,11
19,3,9,2012-10-02 07:53:56.055831,2012-10-02 07:54:08.685778,f,8
20,2,9,2012-10-02 07:54:42.824326,2012-10-02 07:55:09.697066,f,6
21,1,9,2012-10-02 07:55:14.394605,2012-10-02 07:56:11.199393,f,4
22,15,9,2012-10-02 07:56:54.221391,2012-10-02 07:57:10.218992,f,45
17,14,9,2012-10-02 07:52:44.354062,2012-10-02 07:57:31.933072,f,42
24,16,5,2012-10-02 08:13:43.874827,2012-10-02 08:14:10.589466,f,48
25,14,8,2012-10-02 16:29:48.666138,2012-10-02 16:30:18.35151,f,40
26,4,8,2012-10-02 16:30:34.735629,2012-10-02 16:30:34.735629,f,0
27,3,10,2012-10-03 04:22:12.591452,2012-10-03 04:22:12.591452,f,0
28,2,10,2012-10-03 04:22:37.874106,2012-10-03 04:22:51.615727,f,6
29,1,10,2012-10-03 04:30:55.007759,2012-10-03 04:31:03.304597,f,2
30,19,11,2012-10-03 21:41:05.024829,2012-10-03 21:41:24.804093,f,56
31,1,11,2012-10-03 21:47:27.641808,2012-10-03 21:48:30.308574,f,4
32,3,11,2012-10-03 22:17:30.103835,2012-10-03 22:17:37.037738,f,8
34,15,11,2012-10-03 23:58:21.96881,2012-10-03 23:58:21.96881,f,0
33,2,11,2012-10-03 22:19:25.153099,2012-10-04 04:45:33.436474,f,5
36,3,12,2012-10-04 14:51:53.509965,2012-10-04 14:51:53.509965,f,0
37,1,12,2012-10-04 14:52:10.288863,2012-10-04 14:52:10.288863,f,0
38,2,12,2012-10-04 18:10:09.703502,2012-10-04 18:10:09.703502,f,0
39,15,12,2012-10-04 18:12:25.808079,2012-10-04 18:13:02.844278,f,46
40,1,13,2012-10-04 20:49:29.489744,2012-10-04 20:49:51.989685,f,4
41,2,13,2012-10-04 20:50:44.96039,2012-10-04 20:51:07.56223,f,6
42,3,13,2012-10-04 20:51:18.589572,2012-10-04 20:51:24.790051,f,8
43,19,13,2012-10-04 20:51:46.241105,2012-10-04 20:52:23.670487,f,55
44,15,13,2012-10-05 18:11:43.760377,2012-10-05 18:12:20.661377,f,45
46,15,14,2012-10-06 01:14:18.723864,2012-10-06 01:14:22.516527,f,47
