id,poll_id,description,price,number_of_votes,photo_url,created_at,updated_at,is_deleted,brand,photo_file_name,photo_content_type,photo_file_size,photo_updated_at,number_of_flags
9,4,,,0,,2012-09-30 05:40:35.681692,2012-09-30 05:40:35.681692,f,"",item_photo_,image/jpeg,427123,2012-09-30 05:40:34.729766,0
11,4,,,2,,2012-09-30 05:41:32.426308,2012-10-02 07:53:48.139742,f,"",item_photo_,image/jpeg,497098,2012-09-30 05:41:31.34666,0
44,14,,,1,,2012-10-02 03:26:23.886404,2012-10-02 18:16:17.358165,t,"",item_photo_,image/jpeg,211273,2012-10-02 03:26:23.168865,1
13,5,,,0,,2012-09-30 08:01:08.623939,2012-09-30 08:01:08.623939,f,"",item_photo_,image/jpeg,309641,2012-09-30 08:01:07.833245,0
15,5,,,0,,2012-09-30 08:02:20.879868,2012-09-30 08:02:20.879868,f,San Francisco bridge in a cat,item_photo_,image/jpeg,298228,2012-09-30 08:02:19.937994,0
16,5,,,0,,2012-09-30 08:02:57.15683,2012-09-30 08:02:57.15683,f,"",item_photo_,image/jpeg,338405,2012-09-30 08:02:56.211128,0
17,6,,,0,,2012-09-30 08:04:04.678017,2012-09-30 08:04:04.678017,f,"",item_photo_,image/jpeg,315558,2012-09-30 08:04:03.739486,0
18,6,,,0,,2012-09-30 08:04:26.194894,2012-09-30 08:04:26.194894,f,"",item_photo_,image/jpeg,349845,2012-09-30 08:04:25.339487,0
14,5,,,1,,2012-09-30 08:01:35.614126,2012-09-30 17:08:45.323219,f,"",item_photo_,image/jpeg,476077,2012-09-30 08:01:34.66468,0
51,17,,,0,,2012-10-02 18:18:09.843181,2012-10-02 18:18:09.843181,f,Markers,item_photo_,image/jpeg,403065,2012-10-02 18:18:08.80588,0
19,6,,,1,,2012-09-30 08:04:47.321161,2012-09-30 19:58:43.182468,f,"",item_photo_,image/jpeg,342504,2012-09-30 08:04:46.59282,0
21,8,,,0,,2012-10-01 16:54:49.298493,2012-10-01 16:54:49.298493,f,Bag,item_photo_,image/jpeg,489541,2012-10-01 16:54:47.754795,0
22,8,,,0,,2012-10-01 16:55:56.382801,2012-10-01 16:55:56.382801,f,Boating,item_photo_,image/jpeg,327329,2012-10-01 16:55:54.799242,0
23,9,,,0,,2012-10-01 17:00:07.571607,2012-10-01 17:00:31.218284,t,"",item_photo_,image/jpeg,288322,2012-10-01 17:00:06.143151,0
24,10,,,0,,2012-10-02 01:57:39.574612,2012-10-02 01:57:39.574612,f,Truck blocking road,item_photo_,image/jpeg,273072,2012-10-02 01:57:35.849132,0
25,10,,,0,,2012-10-02 02:05:14.347498,2012-10-02 02:05:14.347498,f,Ewww,item_photo_,image/jpeg,311011,2012-10-02 02:05:13.297524,0
26,10,,,0,,2012-10-02 02:05:45.864992,2012-10-02 02:05:45.864992,f,Work,item_photo_,image/jpeg,320378,2012-10-02 02:05:45.069863,0
27,10,,,0,,2012-10-02 02:06:22.454773,2012-10-02 02:06:22.454773,f,Competition,item_photo_,image/jpeg,310050,2012-10-02 02:06:21.452512,0
28,11,,,0,,2012-10-02 02:08:53.026845,2012-10-02 02:08:53.026845,f,Carrier screening bannerstand,item_photo_,image/jpeg,374616,2012-10-02 02:08:51.891329,0
29,11,,,0,,2012-10-02 02:09:31.695495,2012-10-02 02:09:31.695495,f,"",item_photo_,image/jpeg,370132,2012-10-02 02:09:30.88865,0
30,11,,,0,,2012-10-02 02:10:46.614299,2012-10-02 02:10:46.614299,f,"",item_photo_,image/jpeg,356589,2012-10-02 02:10:45.656347,0
31,11,,,0,,2012-10-02 02:11:47.764286,2012-10-02 02:11:47.764286,f,"",item_photo_,image/jpeg,380707,2012-10-02 02:11:46.81854,0
32,12,,,0,,2012-10-02 02:13:02.849972,2012-10-02 02:13:02.849972,f,Farallon Islands,item_photo_,image/jpeg,315093,2012-10-02 02:13:02.081095,0
33,12,,,0,,2012-10-02 02:13:35.271089,2012-10-02 02:13:35.271089,f,"",item_photo_,image/jpeg,296193,2012-10-02 02:13:34.504639,0
34,12,,,0,,2012-10-02 02:13:54.899134,2012-10-02 02:13:54.899134,f,"",item_photo_,image/jpeg,409144,2012-10-02 02:13:53.991007,0
35,12,,,0,,2012-10-02 02:14:15.138193,2012-10-02 02:14:15.138193,f,"",item_photo_,image/jpeg,373815,2012-10-02 02:14:14.099972,0
52,17,,,0,,2012-10-02 18:18:42.592647,2012-10-02 18:18:42.592647,f,"",item_photo_,image/jpeg,401586,2012-10-02 18:18:41.632541,0
36,13,,,0,,2012-10-02 02:18:59.848927,2012-10-02 02:18:59.848927,f,Group photo,item_photo_,image/jpeg,439064,2012-10-02 02:18:58.849544,0
38,13,,,0,,2012-10-02 02:20:04.182859,2012-10-02 02:20:04.182859,f,"",item_photo_,image/jpeg,324354,2012-10-02 02:20:03.443488,0
39,13,,,0,,2012-10-02 02:23:01.028854,2012-10-02 02:23:01.028854,f,Crowded,item_photo_,image/jpeg,351996,2012-10-02 02:23:00.157758,0
12,5,,,1,,2012-09-30 08:00:44.182656,2012-10-02 03:18:30.272133,f,Summer is over :(,item_photo_,image/jpeg,334215,2012-09-30 08:00:42.96619,0
37,13,,,1,,2012-10-02 02:19:27.028441,2012-10-02 03:23:36.234914,f,"",item_photo_,image/jpeg,302810,2012-10-02 02:19:26.05939,0
41,14,,,0,,2012-10-02 03:25:47.559355,2012-10-02 03:25:47.559355,f,"",item_photo_,image/jpeg,282517,2012-10-02 03:25:46.858182,0
43,14,,,0,,2012-10-02 03:26:10.960519,2012-10-02 03:26:10.960519,f,"",item_photo_,image/jpeg,185973,2012-10-02 03:26:09.817044,0
5,2,,,1,,2012-09-30 05:35:00.535564,2012-10-04 04:45:33.722605,f,"",item_photo_,image/jpeg,312346,2012-09-30 05:34:59.35558,0
54,19,,,3,,2012-10-03 04:26:22.105123,2012-10-19 03:29:01.138984,f,"",item_photo_,image/jpeg,327510,2012-10-03 04:26:19.16888,0
42,14,,,1,,2012-10-02 03:25:59.189816,2012-10-02 07:57:31.897792,f,"",item_photo_,image/jpeg,251816,2012-10-02 03:25:58.29072,0
4,1,,,10,,2012-09-30 05:32:43.162677,2012-11-01 05:02:18.860479,f,$250,item_photo_,image/jpeg,330230,2012-09-30 05:32:42.187815,0
49,16,,,0,,2012-10-02 08:12:25.374785,2012-10-02 08:12:25.374785,f,"",item_photo_,image/jpeg,486395,2012-10-02 08:12:24.557464,0
50,16,,,0,,2012-10-02 08:13:05.461411,2012-10-02 08:13:05.461411,f,"",item_photo_,image/jpeg,363142,2012-10-02 08:13:04.655878,0
