id,title,user_id,total_votes,max_votes_for_single_item,end_time,created_at,updated_at,is_deleted,category,state,open_time,number_of_sharing,accepted_item_id,poll_rewards_tracker
60,Sss,84,2,,,2012-10-19 04:22:38.922109,2012-10-20 20:54:21.376896,f,3,1,2012-10-19 04:23:37 +0000,0,,0
3,Which bag looks better?,5,9,,,2012-09-30 05:38:06.110511,2012-10-20 09:53:01.725127,f,6,1,2012-09-30 05:38:44 +0000,0,,0
35,What is the best aloha?,2,6,,,2012-10-15 07:11:09.218737,2012-10-20 04:32:17.406378,f,3,1,2012-10-15 07:12:11 +0000,0,,0
53,Best Celebrity Photo,50,7,,,2012-10-18 14:54:29.267315,2012-10-22 03:36:54.909068,f,11,1,2012-10-18 14:58:32 +0000,0,,0
7,Best restaurant?,5,10,,,2012-10-01 06:31:08.416732,2012-10-22 15:51:16.816566,f,7,1,2012-10-06 04:31:12 +0000,0,,0
39,Which car do you like to have ?,5,6,,,2012-10-17 05:28:37.934314,2012-10-23 08:36:51.657236,f,2,1,2012-10-17 05:38:08 +0000,0,,0
33,Which Hawaiian experience do you think is most special?,2,4,,,2012-10-14 00:01:32.94087,2012-10-20 20:55:21.119676,f,3,1,2012-10-15 07:20:49 +0000,0,,0
59,Sunniest paradise,79,5,,,2012-10-19 04:13:28.956006,2012-10-22 06:54:28.419558,f,1,1,2012-10-19 04:16:17 +0000,0,,0
27,which book do u wanna read first？,9,15,,,2012-10-11 16:18:15.631475,2012-11-01 05:07:17.165407,f,11,1,2012-10-11 16:23:15 +0000,0,,0
29,Which combo is the best gangnam combo?,6,6,,,2012-10-12 21:17:16.727674,2012-10-26 01:37:30.713266,f,8,1,2012-10-12 21:18:01 +0000,0,,0
28,Which is your favorite gangnam style?,6,22,,,2012-10-12 21:15:03.359385,2012-11-01 05:00:28.087792,f,8,1,2012-10-12 21:16:16 +0000,0,,0
15,Which boating picture is best?,7,17,,,2012-10-02 06:36:48.900836,2012-11-01 05:04:42.429115,f,1,1,2012-10-02 06:39:16 +0000,0,,0
58,Best blissful food shot,79,8,,,2012-10-19 03:51:57.984385,2012-10-30 21:25:12.71403,f,0,1,2012-10-19 03:56:42 +0000,0,,0
19,Where do u wanna go,10,14,,,2012-10-03 04:25:43.566533,2012-10-26 15:57:53.087997,f,10,1,2012-10-03 04:27:59 +0000,0,,0
40,Which finger do you like best?,26,10,,,2012-10-17 05:53:14.349355,2012-10-27 18:56:58.888268,f,3,1,2012-10-17 06:06:48 +0000,0,,0
57,Favorite physical feature of opposite Sex?,73,10,,,2012-10-19 03:47:51.258459,2012-10-30 21:06:51.863202,f,,1,2012-10-19 04:20:32 +0000,0,,0
46,Little Mix or Cher Lloyd?,46,10,,,2012-10-17 23:33:25.654681,2012-10-30 21:08:46.097176,f,9,1,2012-10-17 23:35:08 +0000,0,,0
24,Best photo?,13,12,,,2012-10-08 11:10:58.739236,2012-10-30 21:23:18.872828,f,10,1,2012-10-08 11:29:50 +0000,0,,0
43,Which school in Bay Area do you like better,6,15,,,2012-10-17 17:55:56.353946,2012-10-29 00:21:18.537317,f,11,1,2012-10-17 17:57:15 +0000,0,,0
56,What makes a Good Bf/Gf?,73,9,,,2012-10-19 02:10:49.710459,2012-10-30 07:05:01.112963,f,0,1,2012-10-19 02:17:51 +0000,0,,0
1,"For a date, which should I buy?",5,22,,,2012-09-30 05:31:02.425629,2012-11-01 05:02:18.87102,f,6,1,2012-09-30 05:32:53 +0000,0,,0
45,Which hair color?,42,10,,,2012-10-17 21:45:12.235652,2012-10-30 21:09:14.964144,f,1,1,2012-10-17 21:46:30 +0000,0,,0
37,What do u like most?,22,10,,,2012-10-17 05:17:23.310245,2012-10-30 21:09:50.75954,f,7,1,2012-10-17 05:20:04 +0000,0,,0
34,Most beautiful Hawaii shot,2,11,,,2012-10-14 20:50:26.247864,2012-10-30 21:23:51.922852,f,1,1,2012-10-14 20:52:14 +0000,0,,0
70,Which guy has a good looking,97,8,,,2012-10-19 17:39:35.220246,2012-10-21 15:48:02.127775,f,1,1,2012-10-19 17:45:24 +0000,0,,0
64,Type of music artist?,79,5,,,2012-10-19 05:49:13.031603,2012-10-22 03:30:46.093333,f,0,1,2012-10-19 05:50:32 +0000,0,,0
62,Best sunset?,79,5,,,2012-10-19 04:46:49.0827,2012-10-22 06:43:48.368893,f,1,1,2012-10-19 04:54:34 +0000,0,,0
42,Which lobster looks more tasty?,5,5,,,2012-10-17 17:51:49.282774,2012-10-22 15:47:21.076934,f,7,1,2012-10-17 17:52:33 +0000,0,,0
