id,follower_id,followed_id,created_at,updated_at
4,7,6,2012-10-01 16:24:02.780737,2012-10-01 16:24:02.780737
5,7,1,2012-10-01 16:24:07.413279,2012-10-01 16:24:07.413279
6,7,2,2012-10-01 16:53:05.081123,2012-10-01 16:53:05.081123
7,7,3,2012-10-01 16:53:05.796909,2012-10-01 16:53:05.796909
8,7,5,2012-10-01 16:53:17.040713,2012-10-01 16:53:17.040713
9,7,4,2012-10-01 16:53:17.662212,2012-10-01 16:53:17.662212
10,8,5,2012-10-01 22:54:32.492253,2012-10-01 22:54:32.492253
11,5,8,2012-10-02 00:53:14.668208,2012-10-02 00:53:14.668208
12,5,7,2012-10-02 00:57:48.797023,2012-10-02 00:57:48.797023
13,6,7,2012-10-02 00:58:15.939128,2012-10-02 00:58:15.939128
15,6,5,2012-10-02 00:59:05.288472,2012-10-02 00:59:05.288472
16,5,6,2012-10-02 00:59:12.180823,2012-10-02 00:59:12.180823
17,6,8,2012-10-02 03:17:27.174348,2012-10-02 03:17:27.174348
18,6,2,2012-10-02 06:04:49.367706,2012-10-02 06:04:49.367706
19,5,2,2012-10-02 06:04:49.399493,2012-10-02 06:04:49.399493
20,6,3,2012-10-02 06:04:50.348021,2012-10-02 06:04:50.348021
21,5,3,2012-10-02 06:04:50.862102,2012-10-02 06:04:50.862102
23,9,5,2012-10-02 07:52:02.737285,2012-10-02 07:52:02.737285
25,9,6,2012-10-02 07:52:18.171215,2012-10-02 07:52:18.171215
26,9,8,2012-10-02 07:52:18.891705,2012-10-02 07:52:18.891705
27,5,9,2012-10-02 07:54:20.167433,2012-10-02 07:54:20.167433
28,8,6,2012-10-02 16:29:42.490742,2012-10-02 16:29:42.490742
29,8,9,2012-10-02 16:32:14.692647,2012-10-02 16:32:14.692647
30,10,5,2012-10-03 04:29:36.16296,2012-10-03 04:29:36.16296
31,11,5,2012-10-03 21:46:43.630377,2012-10-03 21:46:43.630377
32,11,6,2012-10-03 21:47:07.582928,2012-10-03 21:47:07.582928
33,11,10,2012-10-03 21:47:08.82166,2012-10-03 21:47:08.82166
34,10,6,2012-10-04 23:55:41.388151,2012-10-04 23:55:41.388151
35,13,7,2012-10-05 18:11:55.943695,2012-10-05 18:11:55.943695
